method,split,mrr,recall@1,recall@3,ndcg@5,num_queries
bm25,tune,0.43716630591630595,0.20867768595041322,0.5454545454545454,238.87443750992762,484
tfidf,tune,0.362706776699751,0.14988290398126464,0.4215456674473068,168.13038477080406,427
length,tune,0.38201331496786045,0.17355371900826447,0.4318181818181818,196.59670617425192,484
random,tune,0.31797274695001965,0.1012396694214876,0.35330578512396693,171.67423262072433,484
bm25,test,0.431507772191002,0.20496894409937888,0.5320910973084886,236.5213423478696,483
tfidf,test,0.36864892623716156,0.14352941176470588,0.42823529411764705,180.13079486400187,425
length,test,0.3913536429064379,0.18840579710144928,0.4306418219461698,206.50058958897563,483
random,test,0.33580548161293505,0.13250517598343686,0.35610766045548653,170.9384156538903,483
